"","actor_name","receiver_name","n","color"
"1","alanis22","bea22",72,"#178B76"
"2","alanis22","cher22",68,"#178B76"
"3","alanis22","dolly22",76,"#178B76"
"4","alanis22","dory22",2,"#178B76"
"5","alanis22","fergie22",6,"#178B76"
"6","alanis22","helen22",64,"#178B76"
"7","alanis22","hilda22",12,"#178B76"
"8","alanis22","isla22",0,"#178B76"
"9","alanis22","judy22",72,"#178B76"
"10","alanis22","kamari22",10,"#178B76"
"11","alanis22","luna22",10,"#178B76"
"12","alanis22","manon22",16,"#178B76"
"13","alanis22","maui22",0,"#178B76"
"14","alanis22","nelly22",12,"#178B76"
"15","alanis22","raya22",12,"#178B76"
"16","alanis22","rosa22",2,"#178B76"
"17","alanis22","tracy22",0,"#178B76"
"18","alanis22","ube22",2,"#178B76"
"19","alanis22","uilani22",4,"#178B76"
"20","alanis22","val22",0,"#178B76"
"21","alanis22","zula22",16,"#178B76"
"22","bea22","alanis22",100,"#178B76"
"23","bea22","cher22",28,"#178B76"
"24","bea22","dolly22",72,"#178B76"
"25","bea22","dory22",0,"#178B76"
"26","bea22","fergie22",52,"#178B76"
"27","bea22","helen22",4,"#178B76"
"28","bea22","hilda22",4,"#178B76"
"29","bea22","isla22",0,"#178B76"
"30","bea22","judy22",24,"#178B76"
"31","bea22","kamari22",4,"#178B76"
"32","bea22","luna22",2,"#178B76"
"33","bea22","manon22",24,"#178B76"
"34","bea22","maui22",0,"#178B76"
"35","bea22","nelly22",6,"#178B76"
"36","bea22","raya22",0,"#178B76"
"37","bea22","rosa22",0,"#178B76"
"38","bea22","tracy22",2,"#178B76"
"39","bea22","ube22",2,"#178B76"
"40","bea22","uilani22",4,"#178B76"
"41","bea22","val22",4,"#178B76"
"42","bea22","zula22",2,"#178B76"
"43","cher22","alanis22",52,"#178B76"
"44","cher22","bea22",48,"#178B76"
"45","cher22","dolly22",144,"#178B76"
"46","cher22","dory22",0,"#178B76"
"47","cher22","fergie22",0,"#178B76"
"48","cher22","helen22",12,"#178B76"
"49","cher22","hilda22",0,"#178B76"
"50","cher22","isla22",0,"#178B76"
"51","cher22","judy22",52,"#178B76"
"52","cher22","kamari22",4,"#178B76"
"53","cher22","luna22",0,"#178B76"
"54","cher22","manon22",4,"#178B76"
"55","cher22","maui22",0,"#178B76"
"56","cher22","nelly22",4,"#178B76"
