"","subject","total","actor","receiver","grooming","mouthlicking","aggression"
"1","chorrera_dolly22",874,430,444,780,60,0
"2","chorrera_helen22",690,390,300,528,74,0
"3","chorrera_alanis22",670,364,306,566,52,4
"4","chorrera_bea22",666,314,352,522,96,0
"5","chorrera_judy22",564,224,340,512,22,2
"6","tole_uilani22",538,257,281,493,13,0
"7","chorrera_cher22",536,252,284,430,70,0
"8","tole_zula22",465,203,262,387,46,3
"9","tole_tracy22",389,152,237,308,47,2
"10","tole_dory22",380,184,196,287,14,6
"11","bayano_isla22",368,126,242,254,13,53
"12","tole_rosa22",346,212,134,286,12,0
"13","tole_val22",334,207,127,276,3,6
"14","bayano_kamari22",270,148,122,232,12,7
"15","capira_raya22",252,148,104,211,15,6
"16","chorrera_manon22",245,172,73,200,11,4
"17","chorrera_fergie22",218,100,118,168,15,2
"18","bayano_hilda22",217,87,130,175,26,1
"19","chorrera_nelly22",138,78,60,114,8,4
"20","chorrera_luna22",127,72,55,105,11,0
"21","captive.born_maui22",116,102,14,21,0,70
"22","captive.born_ube22",77,18,59,53,12,2
