"","actor_name","receiver_name","n"
"1","alanis22","bea22",4
"2","alanis22","cher22",24
"3","alanis22","dolly22",24
"4","alanis22","dory22",2
"5","alanis22","fergie22",0
"6","alanis22","helen22",16
"7","alanis22","hilda22",12
"8","alanis22","isla22",0
"9","alanis22","judy22",4
"10","alanis22","kamari22",10
"11","alanis22","luna22",0
"12","alanis22","manon22",2
"13","alanis22","maui22",0
"14","alanis22","nelly22",2
"15","alanis22","raya22",12
"16","alanis22","rosa22",2
"17","alanis22","tracy22",0
"18","alanis22","ube22",2
"19","alanis22","uilani22",4
"20","alanis22","val22",0
"21","alanis22","zula22",16
"22","bea22","alanis22",4
"23","bea22","cher22",8
"24","bea22","dolly22",28
"25","bea22","dory22",0
"26","bea22","fergie22",0
"27","bea22","helen22",4
"28","bea22","hilda22",4
"29","bea22","isla22",0
"30","bea22","judy22",0
"31","bea22","kamari22",4
"32","bea22","luna22",0
"33","bea22","manon22",8
"34","bea22","maui22",0
"35","bea22","nelly22",0
"36","bea22","raya22",0
"37","bea22","rosa22",0
"38","bea22","tracy22",2
"39","bea22","ube22",2
"40","bea22","uilani22",4
"41","bea22","val22",4
"42","bea22","zula22",2
"43","cher22","alanis22",8
"44","cher22","bea22",0
"45","cher22","dolly22",64
"46","cher22","dory22",0
"47","cher22","fergie22",0
"48","cher22","helen22",0
"49","cher22","hilda22",0
"50","cher22","isla22",0
"51","cher22","judy22",4
"52","cher22","kamari22",4
"53","cher22","luna22",0
"54","cher22","manon22",2
"55","cher22","maui22",0
"56","cher22","nelly22",2
"57","cher22","raya22",0
"58","cher22","rosa22",2
"59","cher22","tracy22",0
"60","cher22","ube22",2
"61","cher22","uilani22",0
"62","cher22","val22",2
"63","cher22","zula22",0
"64","dolly22","alanis22",4
"65","dolly22","bea22",20
"66","dolly22","cher22",48
"67","dolly22","dory22",4
"68","dolly22","fergie22",0
"69","dolly22","helen22",12
"70","dolly22","hilda22",2
"71","dolly22","isla22",0
"72","dolly22","judy22",12
"73","dolly22","kamari22",0
"74","dolly22","luna22",2
"75","dolly22","manon22",0
"76","dolly22","maui22",0
"77","dolly22","nelly22",0
"78","dolly22","raya22",0
"79","dolly22","rosa22",10
"80","dolly22","tracy22",4
"81","dolly22","ube22",36
"82","dolly22","uilani22",2
"83","dolly22","val22",6
"84","dolly22","zula22",10
"85","dory22","alanis22",0
"86","dory22","bea22",0
"87","dory22","cher22",0
"88","dory22","dolly22",6
"89","dory22","fergie22",0
"90","dory22","helen22",2
"91","dory22","hilda22",0
"92","dory22","isla22",0
"93","dory22","judy22",0
"94","dory22","kamari22",0
"95","dory22","luna22",0
"96","dory22","manon22",0
"97","dory22","maui22",0
