"","actor_name","receiver_name","n"
"1","alanis22","bea22",0
"2","alanis22","cher22",8
"3","alanis22","dolly22",0
"4","alanis22","fergie22",0
"5","alanis22","helen22",0
"6","alanis22","hilda22",4
"7","alanis22","isla22",0
"8","alanis22","judy22",0
"9","alanis22","luna22",0
"10","alanis22","manon22",0
"11","alanis22","nelly22",6
"12","alanis22","raya22",0
"13","alanis22","tracy22",0
"14","alanis22","ube22",0
"15","alanis22","uilani22",0
"16","alanis22","val22",0
"17","alanis22","zula22",0
"18","bea22","alanis22",4
"19","bea22","cher22",0
"20","bea22","dolly22",0
"21","bea22","fergie22",0
"22","bea22","helen22",0
"23","bea22","hilda22",0
"24","bea22","isla22",0
"25","bea22","judy22",0
"26","bea22","luna22",0
"27","bea22","manon22",0
"28","bea22","nelly22",0
"29","bea22","raya22",0
"30","bea22","tracy22",0
"31","bea22","ube22",0
"32","bea22","uilani22",0
"33","bea22","val22",0
"34","bea22","zula22",0
"35","cher22","alanis22",4
"36","cher22","bea22",0
"37","cher22","dolly22",4
"38","cher22","fergie22",0
"39","cher22","helen22",0
"40","cher22","hilda22",0
"41","cher22","isla22",0
"42","cher22","judy22",0
"43","cher22","luna22",0
"44","cher22","manon22",2
"45","cher22","nelly22",2
"46","cher22","raya22",0
"47","cher22","tracy22",0
"48","cher22","ube22",0
"49","cher22","uilani22",0
"50","cher22","val22",0
"51","cher22","zula22",2
"52","dolly22","alanis22",4
"53","dolly22","bea22",0
"54","dolly22","cher22",16
"55","dolly22","fergie22",0
"56","dolly22","helen22",32
"57","dolly22","hilda22",0
"58","dolly22","isla22",0
"59","dolly22","judy22",4
"60","dolly22","luna22",0
"61","dolly22","manon22",0
"62","dolly22","nelly22",2
"63","dolly22","raya22",0
"64","dolly22","tracy22",0
"65","dolly22","ube22",6
"66","dolly22","uilani22",0
"67","dolly22","val22",0
"68","dolly22","zula22",0
"69","fergie22","alanis22",0
"70","fergie22","bea22",0
"71","fergie22","cher22",0
"72","fergie22","dolly22",0
"73","fergie22","helen22",0
"74","fergie22","hilda22",0
"75","fergie22","isla22",0
"76","fergie22","judy22",0
"77","fergie22","luna22",0
"78","fergie22","manon22",0
"79","fergie22","nelly22",2
"80","fergie22","raya22",0
"81","fergie22","tracy22",0
"82","fergie22","ube22",0
"83","fergie22","uilani22",0
"84","fergie22","val22",0
"85","fergie22","zula22",0
"86","helen22","alanis22",0
"87","helen22","bea22",0
"88","helen22","cher22",0
"89","helen22","dolly22",4
"90","helen22","fergie22",0
"91","helen22","hilda22",0
"92","helen22","isla22",0
"93","helen22","judy22",24
"94","helen22","luna22",2
"95","helen22","manon22",0
"96","helen22","nelly22",0
"97","helen22","raya22",2
"98","helen22","tracy22",0
"99","helen22","ube22",0
"100","helen22","uilani22",0
"101","helen22","val22",0
"102","helen22","zula22",0
"103","hilda22","alanis22",0
"104","hilda22","bea22",0
"105","hilda22","cher22",0
"106","hilda22","dolly22",0
"107","hilda22","fergie22",0
"108","hilda22","helen22",0
"109","hilda22","isla22",1
"110","hilda22","judy22",0
"111","hilda22","luna22",0
"112","hilda22","manon22",0
"113","hilda22","nelly22",0
"114","hilda22","raya22",0
"115","hilda22","tracy22",0
"116","hilda22","ube22",0
"117","hilda22","uilani22",0
"118","hilda22","val22",0
"119","hilda22","zula22",3
"120","isla22","alanis22",0
"121","isla22","bea22",0
"122","isla22","cher22",0
"123","isla22","dolly22",0
"124","isla22","fergie22",0
"125","isla22","helen22",0
"126","isla22","hilda22",1
"127","isla22","judy22",0
"128","isla22","luna22",0
"129","isla22","manon22",0
"130","isla22","nelly22",0
"131","isla22","raya22",0
"132","isla22","tracy22",0
"133","isla22","ube22",0
"134","isla22","uilani22",0
"135","isla22","val22",0
"136","isla22","zula22",0
"137","judy22","alanis22",0
"138","judy22","bea22",4
"139","judy22","cher22",0
"140","judy22","dolly22",4
"141","judy22","fergie22",0
"142","judy22","helen22",8
"143","judy22","hilda22",0
"144","judy22","isla22",0
"145","judy22","luna22",0
"146","judy22","manon22",0
"147","judy22","nelly22",0
"148","judy22","raya22",0
"149","judy22","tracy22",0
"150","judy22","ube22",0
"151","judy22","uilani22",0
"152","judy22","val22",0
"153","judy22","zula22",0
"154","kamari22","alanis22",0
"155","kamari22","bea22",2
"156","kamari22","cher22",0
"157","kamari22","dolly22",0
"158","kamari22","fergie22",0
"159","kamari22","helen22",0
"160","kamari22","hilda22",0
"161","kamari22","isla22",2
"162","kamari22","judy22",0
"163","kamari22","luna22",1
"164","kamari22","manon22",0
"165","kamari22","nelly22",0
"166","kamari22","raya22",0
"167","kamari22","tracy22",0
"168","kamari22","ube22",0
"169","kamari22","uilani22",0
"170","kamari22","val22",0
"171","kamari22","zula22",0
"172","luna22","alanis22",0
"173","luna22","bea22",0
"174","luna22","cher22",0
"175","luna22","dolly22",0
"176","luna22","fergie22",0
"177","luna22","helen22",0
"178","luna22","hilda22",0
"179","luna22","isla22",0
"180","luna22","judy22",0
"181","luna22","manon22",0
"182","luna22","nelly22",0
"183","luna22","raya22",0
"184","luna22","tracy22",1
"185","luna22","ube22",0
"186","luna22","uilani22",0
"187","luna22","val22",0
"188","luna22","zula22",0
"189","nelly22","alanis22",0
"190","nelly22","bea22",0
"191","nelly22","cher22",0
"192","nelly22","dolly22",0
"193","nelly22","fergie22",2
"194","nelly22","helen22",0
"195","nelly22","hilda22",0
"196","nelly22","isla22",0
"197","nelly22","judy22",0
"198","nelly22","luna22",0
"199","nelly22","manon22",0
"200","nelly22","raya22",0
"201","nelly22","tracy22",0
"202","nelly22","ube22",0
"203","nelly22","uilani22",0
"204","nelly22","val22",0
"205","nelly22","zula22",0
"206","tracy22","alanis22",0
"207","tracy22","bea22",6
"208","tracy22","cher22",0
"209","tracy22","dolly22",0
"210","tracy22","fergie22",0
"211","tracy22","helen22",0
"212","tracy22","hilda22",0
"213","tracy22","isla22",0
"214","tracy22","judy22",2
"215","tracy22","luna22",1
"216","tracy22","manon22",0
"217","tracy22","nelly22",0
"218","tracy22","raya22",0
"219","tracy22","ube22",0
"220","tracy22","uilani22",1
"221","tracy22","val22",0
"222","tracy22","zula22",1
"223","ube22","alanis22",0
"224","ube22","bea22",0
"225","ube22","cher22",2
"226","ube22","dolly22",10
"227","ube22","fergie22",0
"228","ube22","helen22",0
"229","ube22","hilda22",1
"230","ube22","isla22",0
"231","ube22","judy22",0
"232","ube22","luna22",0
"233","ube22","manon22",0
"234","ube22","nelly22",0
"235","ube22","raya22",0
"236","ube22","tracy22",0
"237","ube22","uilani22",0
"238","ube22","val22",0
"239","ube22","zula22",0
"240","uilani22","alanis22",0
"241","uilani22","bea22",0
"242","uilani22","cher22",0
"243","uilani22","dolly22",0
"244","uilani22","fergie22",1
"245","uilani22","helen22",0
"246","uilani22","hilda22",0
"247","uilani22","isla22",0
"248","uilani22","judy22",0
"249","uilani22","luna22",0
"250","uilani22","manon22",0
"251","uilani22","nelly22",0
"252","uilani22","raya22",0
"253","uilani22","tracy22",0
"254","uilani22","ube22",0
"255","uilani22","val22",1
"256","uilani22","zula22",0
"257","val22","alanis22",0
"258","val22","bea22",0
"259","val22","cher22",0
"260","val22","dolly22",0
"261","val22","fergie22",0
"262","val22","helen22",0
"263","val22","hilda22",0
"264","val22","isla22",0
"265","val22","judy22",0
"266","val22","luna22",0
"267","val22","manon22",0
"268","val22","nelly22",0
"269","val22","raya22",0
"270","val22","tracy22",0
"271","val22","ube22",0
"272","val22","uilani22",2
"273","val22","zula22",1
"274","zula22","alanis22",0
"275","zula22","bea22",0
"276","zula22","cher22",2
"277","zula22","dolly22",2
"278","zula22","fergie22",0
"279","zula22","helen22",0
"280","zula22","hilda22",1
"281","zula22","isla22",0
"282","zula22","judy22",0
"283","zula22","luna22",0
"284","zula22","manon22",0
"285","zula22","nelly22",0
"286","zula22","raya22",0
"287","zula22","tracy22",3
"288","zula22","ube22",0
"289","zula22","uilani22",4
"290","zula22","val22",0
