"","alanis22","bea22","cher22","dolly22","dory22","fergie22","helen22","hilda22","isla22","judy22","kamari22","luna22","manon22","maui22","nelly22","raya22","rosa22","tracy22","ube22","uilani22","val22","zula22"
"alanis22",0,72,68,76,2,6,64,12,0,72,10,10,16,0,12,12,2,0,2,4,0,16
"bea22",100,0,28,72,0,52,4,4,0,24,4,2,24,0,6,0,0,2,2,4,4,2
"cher22",52,48,0,144,0,0,12,0,0,52,4,0,4,0,4,0,2,0,2,0,2,0
"dolly22",92,72,168,0,4,8,88,2,0,40,0,16,18,0,4,0,10,4,36,2,6,10
"dory22",4,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,31,22,1,36,50,23
"fergie22",14,38,0,4,0,0,10,3,0,10,8,0,1,0,11,0,0,1,1,1,0,1
"helen22",36,32,12,204,0,0,0,4,0,96,0,4,14,0,0,0,0,8,4,0,14,0
"hilda22",4,0,0,0,0,0,2,0,40,0,23,0,0,0,0,9,1,0,3,0,1,1
"isla22",0,0,0,0,0,0,0,37,0,0,32,0,0,3,1,43,1,0,0,0,0,0
"judy22",52,20,20,56,0,4,104,8,0,0,4,16,14,4,18,0,0,4,0,0,0,4
"kamari22",8,0,0,0,1,3,0,41,63,2,0,0,0,0,0,51,0,0,0,2,0,0
"luna22",12,4,6,30,0,0,18,0,0,22,1,0,2,0,10,0,0,1,1,0,1,2
"manon22",18,26,28,26,0,1,34,1,0,44,2,1,0,0,31,1,2,0,1,0,0,2
"maui22",0,0,0,2,0,0,0,5,2,0,3,1,0,0,0,7,0,0,0,0,0,0
"nelly22",18,0,10,12,0,11,6,0,0,22,0,1,6,0,0,0,0,2,0,0,0,2
"raya22",10,0,0,2,0,0,4,21,66,0,56,0,0,1,0,0,0,0,0,0,0,0
"rosa22",6,0,6,12,50,0,4,0,1,0,2,0,0,0,0,0,0,34,3,53,19,24
"tracy22",6,2,6,2,5,0,2,1,0,0,0,0,0,0,1,0,25,0,0,41,21,51
"ube22",2,2,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5
"uilani22",0,0,2,0,21,0,6,0,0,0,5,0,0,0,0,0,15,63,5,0,74,97
"val22",2,2,4,0,48,0,8,1,0,0,0,0,0,0,0,0,4,22,4,65,0,15
"zula22",4,0,6,0,24,0,0,3,0,0,0,0,0,0,1,0,19,41,3,62,25,0
