"","alanis22","bea22","cher22","dolly22","dory22","fergie22","helen22","hilda22","isla22","judy22","kamari22","luna22","manon22","maui22","nelly22","raya22","rosa22","tracy22","ube22","uilani22","val22","zula22"
"alanis22",0,12,32,8,0,0,0,4,0,4,0,2,0,0,8,0,0,2,0,0,0,0
"bea22",16,0,16,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cher22",4,12,0,12,0,0,8,0,0,12,0,0,6,0,2,0,0,0,0,0,0,2
"dolly22",0,8,4,0,0,0,24,0,0,8,0,0,2,0,0,0,0,0,4,0,0,0
"dory22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1
"fergie22",0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"helen22",0,0,0,4,0,0,0,0,0,24,0,4,0,0,0,2,0,0,0,0,0,0
"hilda22",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,3
"isla22",0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,5,0,0,0,0,0,0
"judy22",0,4,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kamari22",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"luna22",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"manon22",6,0,2,6,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"maui22",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"nelly22",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"raya22",0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"rosa22",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
"tracy22",0,6,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,11
"ube22",0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"uilani22",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
"val22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
"zula22",0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,15,0,4,0,0
